ID,Sample,Raw_paired_reads,Feedlot_pen_lot,Feedlot_lot_num,Group,Head,A_minus,A,A_Plus,any_abscess,PREV_A_APLUS,PREV_ALL,PREVCAT_A_APLUS,PREVCAT_ALL
CL10a,CL10a,319002,Feedlot_18018,18018,Control,173,25,18,30,73,27.7456647398844,42.1965317919075,Top3rd,Middle3rd
CL10b,CL10b,167485,Feedlot_18018,18018,Control,173,25,18,30,73,27.7456647398844,42.1965317919075,Top3rd,Middle3rd
CL10c,CL10c,179721,Feedlot_18018,18018,Control,173,25,18,30,73,27.7456647398844,42.1965317919075,Top3rd,Middle3rd
CL10d,CL10d,148708,Feedlot_18018,18018,Control,173,25,18,30,73,27.7456647398844,42.1965317919075,Top3rd,Middle3rd
CL10e,CL10e,267964,Feedlot_18018,18018,Control,173,25,18,30,73,27.7456647398844,42.1965317919075,Top3rd,Middle3rd
CL11a,CL11a,203537,Feedlot_18013,18013,Treatment,157,36,18,28,82,29.2993630573248,52.2292993630573,Top3rd,Top3rd
CL11b,CL11b,469777,Feedlot_18013,18013,Treatment,157,36,18,28,82,29.2993630573248,52.2292993630573,Top3rd,Top3rd
CL11c,CL11c,218979,Feedlot_18013,18013,Treatment,157,36,18,28,82,29.2993630573248,52.2292993630573,Top3rd,Top3rd
CL11d,CL11d,812110,Feedlot_18013,18013,Treatment,157,36,18,28,82,29.2993630573248,52.2292993630573,Top3rd,Top3rd
CL11e,CL11e,275028,Feedlot_18013,18013,Treatment,157,36,18,28,82,29.2993630573248,52.2292993630573,Top3rd,Top3rd
CL12a,CL12a,491524,Feedlot_18014,18014,Control,157,33,20,23,76,27.3885350318471,48.4076433121019,Middle3rd,Top3rd
CL12b,CL12b,275408,Feedlot_18014,18014,Control,157,33,20,23,76,27.3885350318471,48.4076433121019,Middle3rd,Top3rd
CL12c,CL12c,367100,Feedlot_18014,18014,Control,157,33,20,23,76,27.3885350318471,48.4076433121019,Middle3rd,Top3rd
CL12d,CL12d,225802,Feedlot_18014,18014,Control,157,33,20,23,76,27.3885350318471,48.4076433121019,Middle3rd,Top3rd
CL12e,CL12e,100786,Feedlot_18014,18014,Control,157,33,20,23,76,27.3885350318471,48.4076433121019,Middle3rd,Top3rd
CL13a,CL13a,369436,Feedlot_18011,18011,Control,162,18,8,23,49,19.1358024691358,30.2469135802469,Middle3rd,Bottom3rd
CL13b,CL13b,144668,Feedlot_18011,18011,Control,162,18,8,23,49,19.1358024691358,30.2469135802469,Middle3rd,Bottom3rd
CL13c,CL13c,426632,Feedlot_18011,18011,Control,162,18,8,23,49,19.1358024691358,30.2469135802469,Middle3rd,Bottom3rd
CL13d,CL13d,235189,Feedlot_18011,18011,Control,162,18,8,23,49,19.1358024691358,30.2469135802469,Middle3rd,Bottom3rd
CL13e,CL13e,119231,Feedlot_18011,18011,Control,162,18,8,23,49,19.1358024691358,30.2469135802469,Middle3rd,Bottom3rd
CL14a,CL14a,119721,Feedlot_18012,18012,Treatment,171,35,13,36,84,28.6549707602339,49.1228070175439,Top3rd,Top3rd
CL14b,CL14b,361245,Feedlot_18012,18012,Treatment,171,35,13,36,84,28.6549707602339,49.1228070175439,Top3rd,Top3rd
CL14c,CL14c,282367,Feedlot_18012,18012,Treatment,171,35,13,36,84,28.6549707602339,49.1228070175439,Top3rd,Top3rd
CL14d,CL14d,237839,Feedlot_18012,18012,Treatment,171,35,13,36,84,28.6549707602339,49.1228070175439,Top3rd,Top3rd
CL14e,CL14e,108778,Feedlot_18012,18012,Treatment,171,35,13,36,84,28.6549707602339,49.1228070175439,Top3rd,Top3rd
CL15a,CL15a,106236,Feedlot_18015,18015,Control,165,34,4,25,63,17.5757575757576,38.1818181818182,Middle3rd,Middle3rd
CL15b,CL15b,107186,Feedlot_18015,18015,Control,165,34,4,25,63,17.5757575757576,38.1818181818182,Middle3rd,Middle3rd
CL15c,CL15c,102951,Feedlot_18015,18015,Control,165,34,4,25,63,17.5757575757576,38.1818181818182,Middle3rd,Middle3rd
CL15d,CL15d,106328,Feedlot_18015,18015,Control,165,34,4,25,63,17.5757575757576,38.1818181818182,Middle3rd,Middle3rd
CL15e,CL15e,101305,Feedlot_18015,18015,Control,165,34,4,25,63,17.5757575757576,38.1818181818182,Middle3rd,Middle3rd
CL16a,CL16a,119046,Feedlot_18016,18016,Treatment,167,22,2,24,48,15.5688622754491,28.7425149700599,Bottom3rd,Bottom3rd
CL16b,CL16b,101701,Feedlot_18016,18016,Treatment,167,22,2,24,48,15.5688622754491,28.7425149700599,Bottom3rd,Bottom3rd
CL16c,CL16c,104817,Feedlot_18016,18016,Treatment,167,22,2,24,48,15.5688622754491,28.7425149700599,Bottom3rd,Bottom3rd
CL16d,CL16d,116953,Feedlot_18016,18016,Treatment,167,22,2,24,48,15.5688622754491,28.7425149700599,Bottom3rd,Bottom3rd
CL16e,CL16e,107531,Feedlot_18016,18016,Treatment,167,22,2,24,48,15.5688622754491,28.7425149700599,Bottom3rd,Bottom3rd
CL17a,CL17a,192007,Feedlot_18023,18023,Control,138,14,2,15,31,12.3188405797101,22.463768115942,Bottom3rd,Bottom3rd
CL17b,CL17b,111354,Feedlot_18023,18023,Control,138,14,2,15,31,12.3188405797101,22.463768115942,Bottom3rd,Bottom3rd
CL17c,CL17c,111465,Feedlot_18023,18023,Control,138,14,2,15,31,12.3188405797101,22.463768115942,Bottom3rd,Bottom3rd
CL17d,CL17d,103087,Feedlot_18023,18023,Control,138,14,2,15,31,12.3188405797101,22.463768115942,Bottom3rd,Bottom3rd
