ID,Sample,16S_Raw_paired_reads,16S_Filtered_paired_reads,Shotgun_raw_reads,Shotgun_nonhost_reads,Sample_block,Lot,shotgun_seq_lane,shotgun_mean_phred_scores,Host,Matrix,Group,Head,PREVCAT_A_APLUS,PREVCAT_ALL
CF1,CF1,2013052,1739710,43209371,39140534,2,18003,5,37.57,bovine,feces,Treatment,167,Middle3rd,Middle3rd
CF10,CF10,1272371,1115054,26320094,23628461,9,18018,6,37.42,bovine,feces,Control,173,Top3rd,Middle3rd
CF11,CF11,942698,823386,23994450,21543870,7,18013,7,37.51,bovine,feces,Treatment,157,Top3rd,Top3rd
CF12,CF12,937282,828471,35921580,31862712,7,18014,8,38.11,bovine,feces,Control,157,Middle3rd,Top3rd
CF13,CF13,1250162,1104821,24403110,22051664,6,18011,5,37.81,bovine,feces,Control,162,Middle3rd,Bottom3rd
CF14,CF14,1325069,1159210,36985682,33196614,6,18012,6,37.36,bovine,feces,Treatment,171,Top3rd,Top3rd
CF15,CF15,748665,655691,50191940,44890924,8,18015,7,36.47,bovine,feces,Control,165,Middle3rd,Middle3rd
CF16,CF16,729527,649617,56687773,50739227,8,18016,8,38.15,bovine,feces,Treatment,167,Bottom3rd,Bottom3rd
CF17,CF17,785094,699637,27444715,24522006,12,18023,5,37.74,bovine,feces,Control,138,Bottom3rd,Bottom3rd
CF18,CF18,986117,872329,48122715,43514295,12,18024,6,37.51,bovine,feces,Treatment,136,Bottom3rd,Bottom3rd
CF19,CF19,1405111,1253931,40797472,36985824,10,18019,7,36.35,bovine,feces,Control,174,Bottom3rd,Bottom3rd
CF2,CF2,1436895,1188879,23216028,20882010,2,18004,6,37.54,bovine,feces,Control,168,Middle3rd,Top3rd
CF20,CF20,800449,684843,33062421,30081909,10,18020,8,38,bovine,feces,Treatment,177,Bottom3rd,Bottom3rd
CF21,CF21,856998,752275,26471970,23494873,11,18021,5,37.86,bovine,feces,Treatment,172,Bottom3rd,Middle3rd
CF22,CF22,923243,721167,25310627,22924552,11,18022,6,37.44,bovine,feces,Control,171,Bottom3rd,Middle3rd
CF23,CF23,789302,699691,47525379,43194272,5,18009,7,37.55,bovine,feces,Control,92,Top3rd,Top3rd
CF24,CF24,1318948,1159883,43772475,39189910,5,18010,8,38.06,bovine,feces,Treatment,79,Top3rd,Top3rd
CF25,CF25,1396622,1260748,56028423,50477350,13,18025,5,37.94,bovine,feces,Control,112,Top3rd,Top3rd
CF26,CF26,559525,500210,47536926,42500551,13,18026,6,37.68,bovine,feces,Treatment,105,Top3rd,Top3rd
CF27,CF27,1137453,1026393,50357870,45100901,14,18027,7,37.65,bovine,feces,Treatment,194,Bottom3rd,Bottom3rd
CF28,CF28,797594,720262,30276174,27103870,14,18028,8,37.95,bovine,feces,Control,199,Middle3rd,Middle3rd
CF3,CF3,609857,546298,24793292,21743607,3,18005,7,37.39,bovine,feces,Control,159,Top3rd,Middle3rd
CF4,CF4,1018920,882522,14853690,13115091,3,18006,8,37.81,bovine,feces,Treatment,154,Top3rd,Top3rd
CF5,CF5,624152,508296,23619704,21214508,1,18001,5,37.86,bovine,feces,Control,118,Middle3rd,Middle3rd
CF6,CF6,978504,867336,32284007,28859110,1,18002,6,37.6,bovine,feces,Treatment,123,Middle3rd,Middle3rd
CF7,CF7,1403183,1246743,19068839,17041805,4,18007,7,36.04,bovine,feces,Treatment,186,Bottom3rd,Bottom3rd
CF8,CF8,1230892,1081214,25819778,23458063,4,18008,8,37.84,bovine,feces,Control,183,Bottom3rd,Bottom3rd
CF9,CF9,954564,803149,56382659,51197751,9,18017,5,37.69,bovine,feces,Treatment,165,Top3rd,Top3rd
